Part	Length	Scaffolds
All	1072045091	31
Chromosome 1	159731717	1
Chromosome 2	122937904	1
Chromosome 3	120275107	1
Chromosome 4	75128064	1
Chromosome 5	66803114	1
Chromosome 6	71256953	1
Chromosome 7	63941626	1
Chromosome 8	63476739	1
Chromosome 9	22849264	1
Chromosome 10	21752670	1
Chromosome 11	20740192	1
Chromosome 12	18966161	1
Chromosome 13	17000646	1
Chromosome 14	15744861	1
Chromosome 15	14404183	1
Chromosome 16	12042549	1
Chromosome 17	21860121	1
Chromosome 18	16211747	1
Chromosome 19	206394	1
Chromosome 20	9306870	1
Chromosome 21	8335059	1
Chromosome 22	2447251	1
Chromosome 23	3111230	1
Chromosome 24	6129322	1
Chromosome 25	6158279	1
Chromosome 26	5422578	1
Chromosome 27	2347831	1
Chromosome 28	2162601	1
Chromosome 29	511510	1
Chromosome X	91483344	1
Chromosome Z	9299204	1
