BirdID	Sex	BirthYear
-1	3	NA
0	3	NA
1	3	1996
2	3	1999
3	3	1996
4	3	1996
5	3	1996
6	3	1996
7	3	1994
8	3	1996
9	3	1996
10	3	1996
11	3	1996
12	3	1987
13	3	1996
14	3	1996
15	3	1996
16	3	1996
17	3	1996
18	3	1996
19	3	1996
20	3	1982
21	2	1983
22	2	1983
23	2	1982
24	2	1983
25	2	1983
26	3	1982
27	1	1982
28	2	1983
29	2	1983
30	2	1983
31	1	1983
32	1	1983
33	2	1982
34	1	1984
35	3	1984
36	2	1983
37	1	1983
38	2	1984
39	2	1984
40	1	1984
41	3	1985
42	2	1984
43	2	1986
44	2	1986
45	3	1987
46	3	1987
47	3	1987
48	3	1987
49	3	1987
50	3	1987
51	2	1987
52	3	1987
53	3	1987
54	2	1987
55	3	1987
56	3	1987
57	3	1987
58	3	1987
59	3	1987
60	3	1987
61	1	1987
62	3	1987
63	3	1987
64	1	1987
65	2	1987
66	3	1987
67	2	1987
68	2	1987
69	2	1987
70	3	1987
71	1	1987
72	3	1987
73	2	1987
74	1	1987
75	2	1987
76	3	1987
77	2	1987
78	1	1987
79	1	1987
80	3	1987
81	3	1987
82	1	1987
83	3	1987
84	3	1987
85	3	1987
86	3	1987
87	3	1987
88	3	1987
89	3	1987
90	3	1987
91	3	1985
92	3	1984
93	1	1984
94	1	1984
95	3	1985
96	3	1986
97	2	1986
98	2	1986
99	1	1986
100	3	1986
101	3	1986
102	3	1986
103	3	1986
104	3	1986
105	3	1986
106	3	1986
107	3	1986
108	3	1986
109	1	1985
110	3	1986
111	3	1986
112	3	1986
113	3	1988
114	3	1988
115	3	1988
116	3	1988
117	3	1989
118	3	1989
119	3	1989
120	3	1989
121	3	1989
122	3	1989
123	3	1989
124	3	1989
125	3	1989
126	3	1989
127	3	1989
128	3	1989
129	3	1989
130	3	1989
131	3	1989
132	3	1989
133	3	1989
134	3	1989
135	3	1989
136	3	1989
137	3	1989
138	3	1989
139	3	1989
140	3	1989
141	3	1989
142	3	1989
143	3	1989
144	3	1989
145	3	1990
146	3	1990
147	3	1990
148	3	1990
149	3	1990
150	3	1989
151	3	1990
152	3	1990
153	3	1990
154	3	1990
155	3	1990
156	3	1990
157	3	1990
158	3	1990
159	3	1990
160	1	1988
161	3	1989
162	3	1989
163	1	1988
164	3	1989
165	2	1989
166	1	1989
167	1	1989
168	1	1989
169	1	1988
170	2	1989
171	1	1989
172	1	1989
173	2	1990
174	1	1988
175	1	1990
176	2	1988
177	3	1990
178	2	1988
179	3	1990
180	3	1990
181	3	1990
182	3	1990
183	3	1990
184	2	1988
185	1	1988
186	1	1989
187	3	1989
188	3	1989
189	1	1988
190	3	1989
191	1	1989
192	3	1989
193	3	1989
194	3	1989
195	3	1989
196	3	1989
197	3	1989
198	3	1989
199	1	1986
200	2	1988
201	3	1989
202	1	1989
203	1	1988
204	2	1988
205	2	1989
206	3	1988
207	1	1988
208	2	1989
209	2	1989
210	2	1987
211	3	1987
212	3	1988
213	1	1988
214	2	1988
215	2	1988
216	2	1988
217	1	1988
218	3	1988
219	2	1988
220	2	1988
221	2	1988
222	2	1987
223	2	1987
224	1	1988
225	1	1988
226	2	1987
227	1	1988
228	1	1988
229	1	1987
230	1	1987
231	2	1987
232	1	1987
233	1	1988
234	2	1988
235	1	1988
236	2	1988
237	1	1988
238	1	1988
239	2	1988
240	2	1988
241	2	1987
242	1	1988
243	2	1988
244	1	1987
245	2	1987
246	2	1988
247	2	1987
248	2	1987
249	2	1988
250	3	1988
251	1	1989
252	3	1990
253	3	1990
254	3	1990
255	3	1990
256	3	1990
257	3	1990
258	3	1990
259	3	1990
260	3	1990
261	3	1990
262	3	1990
263	3	1990
264	3	1990
265	3	1990
266	3	1990
267	3	1990
268	3	1990
269	3	1990
270	3	1990
271	3	1991
272	3	1991
273	3	1991
274	3	1991
275	3	1991
276	3	1991
277	3	1991
278	3	1991
279	3	1991
280	3	1991
281	3	1991
282	3	1991
283	3	1990
284	3	1991
285	3	1991
286	3	1991
287	3	1991
288	3	1991
289	3	1991
290	3	1991
291	3	1991
292	3	1991
293	2	1988
294	1	1988
295	1	1989
296	3	1990
297	1	1989
298	2	1988
299	2	1990
300	2	1990
301	1	1990
302	1	1990
303	1	1989
304	2	1983
305	2	1989
306	1	1990
307	3	1990
308	1	1990
309	3	1990
310	3	1990
311	3	1990
312	1	1990
313	2	1989
314	2	1990
315	2	1989
316	1	1990
317	1	1990
318	2	1990
319	2	1990
320	1	1989
321	1	1990
322	1	1989
323	1	1990
324	2	1989
325	1	1988
326	1	1989
327	2	1988
328	2	1989
329	1	1988
330	1	1990
331	2	1988
332	1	1990
333	1	1988
334	3	1996
335	2	2003
336	3	1991
337	3	1991
338	3	1991
339	3	1991
340	3	1991
341	3	1991
342	3	1991
343	3	1991
344	3	1990
345	3	1991
346	3	1992
347	3	1992
348	3	1992
349	3	1992
350	3	1992
351	3	1992
352	3	1992
353	3	1992
354	3	1992
355	3	1992
356	3	1992
357	3	1991
358	3	1992
359	3	1992
360	3	1992
361	3	1992
362	3	1992
363	3	1992
364	3	1992
365	3	1992
366	3	1992
367	3	1992
368	3	1992
369	3	1992
370	3	1992
371	3	1993
372	3	1993
373	3	1992
374	3	1993
375	3	1993
376	3	1993
377	3	1993
378	3	1993
379	3	1993
380	3	1993
381	3	1994
382	3	1993
383	3	1993
384	3	1994
385	3	1994
386	3	1994
387	3	1994
388	3	1994
389	3	1998
390	3	1994
391	3	1993
392	3	1994
393	3	1994
394	3	1994
395	3	1993
396	3	1994
397	3	1994
398	3	1994
399	3	1994
400	3	1994
401	3	1994
402	3	1994
403	3	1993
404	3	1993
405	3	1993
406	3	1994
407	3	1994
408	3	1994
409	3	1994
410	3	1994
411	3	1994
412	3	1994
413	3	1994
414	3	1994
415	3	1994
416	3	1994
417	3	1993
418	3	1994
419	3	1994
420	3	1994
421	3	1993
422	3	1994
423	3	1994
424	3	1993
425	3	1994
426	2	1974
427	1	1975
428	1	1977
429	2	1978
430	1	1984
431	3	1986
432	3	1986
433	3	1986
434	3	1986
435	3	1986
436	2	1992
437	1	1992
438	2	1992
439	2	1992
440	1	1992
441	1	1992
442	1	1992
443	1	1992
444	1	1992
445	2	1992
446	2	1992
447	1	1992
448	2	1992
449	1	1992
450	1	1992
451	1	1992
452	2	1992
453	2	1992
454	1	1992
455	1	1992
456	1	1992
457	1	1992
458	1	1992
459	1	1992
460	1	1992
461	1	1992
462	1	1992
463	3	1993
464	1	1992
465	2	1992
466	1	1993
467	2	1992
468	1	1992
469	1	1992
470	2	1992
471	1	1992
472	1	1992
473	2	1992
474	1	1992
475	2	1992
476	1	1992
477	2	1992
478	2	1992
479	1	1992
480	3	1993
481	3	1993
482	3	1992
483	3	1992
484	3	1992
485	3	1992
486	3	1992
487	3	1993
488	3	1992
489	3	1992
490	3	1993
491	3	1993
492	3	1993
493	3	1992
494	2	1990
495	2	1993
496	1	1993
497	2	1993
498	2	1993
499	2	1993
500	1	1991
501	2	1994
502	1	1993
503	1	1993
504	1	1993
505	1	1993
506	2	1993
507	2	1993
508	1	1993
509	2	1993
510	2	1993
511	1	1993
512	2	1993
513	3	1993
514	3	1992
515	3	1994
516	3	1993
517	3	1993
518	3	1994
519	3	1993
520	3	1994
521	1	1994
522	1	1993
523	2	1993
524	1	1993
525	2	1993
526	2	1994
527	1	1994
528	1	1993
529	1	1993
530	1	1993
531	1	1993
532	3	1994
533	3	1994
534	3	1993
535	3	1993
536	3	1993
537	3	1993
538	3	1993
539	2	1993
540	2	1993
541	1	1993
542	1	1993
543	1	1993
544	2	1993
545	2	1993
546	2	1993
547	2	1993
548	1	1993
549	2	1993
550	2	1993
551	1	1993
552	1	1993
553	2	1993
554	1	1993
555	2	1993
556	2	1993
557	2	1993
558	1	1993
559	2	1993
560	1	1993
561	1	1993
562	2	1993
563	1	1994
564	3	1994
565	3	1994
566	3	1993
567	3	1994
568	3	1994
569	3	1994
570	3	1994
571	3	1994
572	3	1994
573	3	1994
574	3	1994
575	3	1994
576	3	1994
577	3	1994
578	3	1994
579	3	1994
580	3	1994
581	3	1994
582	3	1994
583	3	1994
584	3	1994
585	3	1994
586	3	1994
587	3	1994
588	3	1994
589	3	1994
590	3	1994
