id pc1 pc2 pc3 pc4 pc5 pc6 pc7
1015 0.0197198 -0.0494423 0.0341395 0.0166558 -0.0229617 -0.00192813 -0.0389657
1016 0.00203087 -0.00573217 0.0110985 -0.0155876 0.0224337 -0.0272167 0.00159174
1017 -0.027616 -0.0402858 -0.00788051 0.0225838 0.0134613 -0.00674418 0.00987789
1019 0.00617742 -0.0343209 0.00931472 -0.00496693 0.0437686 -2.99802e-4 0.0154558
1020 -0.0144306 -0.041102 0.00676539 -0.00605197 0.0195109 -0.0473484 -0.0381465
1021 0.0036239 0.0265523 -0.0114656 -0.0585609 -0.0155097 -0.0224034 0.0151557
1022 0.00621574 -0.0155527 0.0149304 0.0197627 0.0304719 -0.00801285 0.02174
1023 -0.0140031 0.0400807 -0.011759 0.00512557 0.0254026 0.0107218 0.00676985
1024 0.00635993 0.0349198 -0.0484378 0.0260728 -0.0049254 -0.00909564 0.0295127
1025 -0.039465600000000003 0.0506511 -0.0172898 -0.0199846 0.00322771 -0.00154924 -0.0110708
1026 -0.0144767 -0.040892 -0.0087393 -0.0156795 -0.0333982 0.00296032 -0.00303321
1027 -0.044373 -0.00332188 0.0202299 0.0312837 -0.0129967 0.0349112 0.0127791
1028 0.0650899 0.0486756 0.0200009 2.27363e-4 -0.0504612 -9.8708e-4 -0.00312315
1029 -0.00144689 0.0108758 -0.0332901 -0.00876255 -0.0104963 0.0133633 0.0166468
1030 -0.0475341 0.0142201 -0.0208264 0.03607 -0.014448 -0.00412274 0.0173821
1031 -0.0387128 -0.00707339 -9.40953e-4 0.0179772 0.00666547 0.0340406 -0.031892
1032 -0.0119038 0.0065872 -0.00758436 -0.00484252 -0.0361413 -0.0114904 0.00556009
1033 -0.00945788 -0.00875014 -0.0181507 -0.0364678 -0.00777909 0.038914 0.00948735
1034 0.0245303 -0.0380058 -0.00407115 0.049886 0.00465035 -0.0500943 0.00941687
1035 0.0160226 -0.01789 -0.0527362 -0.00101757 0.0251658 -0.0362741 -0.0171284
1036 0.0295211 0.0111702 0.0194865 0.0157545 -0.0280563 0.00968007 0.0140873
1037 0.0233547 -0.0531217 -0.00754978 0.0101111 0.0428719 -0.0194589 0.00231892
1038 0.0267291 -0.0416819 -0.00988378 0.0622684 0.0106721 0.00495713 -0.0140512
1039 -0.0317356 0.0375138 0.0171676 0.00988254 0.0220301 -0.023206 -0.0233146
1040 -0.0243592 -0.0150933 -0.027356 0.00576309 0.0140398 -0.00207362 0.0360348
1041 0.00755229 -0.0314043 -0.028417 0.0244424 0.0492416 -0.011412 0.00612102
1042 0.0206565 0.0126267 -0.0197171 0.0146191 -0.0495544 -0.0036562 -0.0951674
1043 0.0069879 0.0137097 -0.0142662 0.00592111 -0.0289114 -0.0173206 -0.0699761
1044 0.00706146 0.00428141 -0.01805 -0.0146818 0.00937346 0.0209869 0.0124281
1045 -0.0515441 -0.00870498 0.00433906 0.00792353 0.0080103 0.00699503 0.0330762
1046 -0.038567 -0.0327559 -0.00356827 0.0234871 0.00932351 0.033288 -0.00410729
1047 0.0316267 -0.00670633 1.96832e-6 -0.0188614 0.0181724 -0.0126034 0.0110901
1048 -0.00913719 0.0373256 -0.0139268 -0.0356403 0.00716925 -0.0205133 -0.00797781
1049 0.00276284 -0.0335543 0.0302623 0.00761494 -8.78101e-4 -0.0301562 0.00328287
1050 -3.24637e-4 -0.0375898 0.0367134 0.00589745 -0.0317853 -0.0197071 -0.00314179
1051 0.0360233 0.00352718 -0.00704668 0.0268646 -0.0160974 -0.00165869 0.00147604
1052 0.0112012 0.00567763 -0.0146293 -9.78305e-4 -0.00213511 -0.0191513 -0.00177624
1053 0.017409 0.0250315 -0.0197865 0.00346902 -0.016422 0.0132926 0.0367669
1054 -0.00963377 -0.0168602 0.0176671 -0.0279942 -0.00626535 0.0287931 0.0117804
1055 -0.0219589 0.0373659 -0.0202942 -0.0372355 -0.00149384 -0.0177332 9.28465e-4
1056 0.0184205 -0.00911611 -0.00931038 -0.0188564 0.0121001 -0.0158327 0.00541295
1057 0.0238906 0.0138353 0.00484117 -0.0166685 -0.0134423 -0.0351656 -0.0050239
1058 -0.0327304 -0.0223746 -0.0393391 0.0386087 -0.0201573 -0.00870372 -0.00474138
1059 0.0137659 0.00437788 -0.0225222 -0.0335547 -0.0334176 -0.00753444 -0.00885271
1060 0.00989603 -0.00358605 4.29216e-4 -0.020382 0.00532925 -0.0245841 -0.0303663
1061 0.0247228 0.0290584 0.0108871 -0.0072499 0.00679991 0.00227103 0.00544277
1062 0.01174 0.00514413 0.00677196 -0.021226 -0.00355006 -0.0195182 -0.0133699
1063 0.0048697 0.016475 0.026172 0.0377237 6.74596e-4 -0.0688837 0.0288273
1130 -0.0188947 -0.0264428 1.75433e-4 0.00322082 -0.0456693 0.00605775 -0.00487263
1151 0.0580242 0.0165971 -0.02828 0.0214982 0.0214147 -0.017454 0.0361562
1152 -9.24068e-4 0.0208811 0.0144268 -0.00113293 -0.0139736 0.0261093 0.0175935
1153 -0.00749496 -0.00718246 0.00228343 -0.00930165 0.00130927 0.0119768 -0.0455834
1154 0.00215876 -0.0163361 0.00644889 0.0172378 0.0272058 0.00965893 -0.014366
1155 0.0186124 0.0184673 0.0230971 -0.0346844 0.00920774 -0.018467 -0.0417425
1156 -0.0270962 0.0135315 0.0158988 -0.0191752 0.0353467 0.0364461 -0.0163359
1157 -0.00490742 0.0124922 -0.0229911 0.0210255 -0.00404093 0.0115371 0.00585012
1158 -0.0120879 0.00528493 0.00773688 -0.0126225 0.0354703 0.00768415 0.0103256
1159 0.023763 0.0224805 -0.00848665 -0.0191023 8.02771e-4 0.0227109 0.00503709
1160 0.0180221 -0.00919 0.0303595 -0.0294293 0.0118583 0.00164287 0.0326067
1161 -0.0377523 0.0420453 -0.0381474 -0.0386729 6.33967e-4 -0.011704 -0.0301184
1162 0.00758569 -0.00563334 0.0200725 -0.0206361 0.0216768 -0.0426033 -0.0168315
1163 0.015852 -0.0312225 -0.00201694 0.0185582 0.00566395 -0.0378193 0.00396594
1164 0.0112266 -0.00653011 -0.010479 0.00241761 0.0343051 0.0120206 0.00499354
1165 -0.0057324 -0.0397577 3.36711e-4 -0.0348306 -0.0356811 0.00101481 0.00164672
1166 -0.00149458 0.00268008 0.00901642 0.0268195 0.0207456 0.0672699 -0.00888491
1167 0.0150988 -0.00358956 0.0363081 -0.0366107 0.00809808 -0.00279191 0.0254606
1168 -0.0148761 -0.0171291 -0.0266958 -0.0376249 -0.0296443 0.0192086 0.00340371
1169 -0.0129737 0.0148594 0.010375 -0.0203106 0.0419565 0.00712265 -0.0129719
1170 0.0268329 0.015219 0.0250833 3.45521e-4 -9.50754e-4 0.00304077 0.0142991
1171 0.0469613 0.0171366 -0.00812144 0.0121345 0.00437924 -0.00184765 0.038895
1172 0.0401673 0.0245519 0.0479575 0.00396908 -0.0398308 0.00759461 0.0198072
1173 0.0321999 0.00377116 0.0596719 0.0297146 -0.0288918 -0.00871327 0.0160862
1174 0.0115462 -0.00898575 -0.00139082 0.0103072 -0.00130434 -0.0249787 0.00543767
1175 0.0104784 -0.0276872 0.0128089 -0.0199597 -0.010268 -6.11483e-4 0.00490017
1176 0.0104905 0.0303963 0.0368479 -0.00158993 0.0179549 -0.0409282 0.00513762
1177 -0.00502627 -0.0171879 -0.0140656 0.0145932 0.0305318 -0.00222523 0.00814705
1178 -0.0174449 0.0209662 0.0210614 0.0205215 0.00507738 -0.00346585 -0.00785635
1179 -0.00306917 0.00497792 -0.00259356 -0.0368181 0.00939152 0.031442 0.00907044
1181 1.93559e-4 -0.0165948 0.00387695 -0.00693097 0.0133336 -0.0196731 -0.027572
1183 0.0120348 0.00819426 0.0372817 -5.16868e-4 -4.19337e-4 -0.0362444 -0.0417783
1184 -0.0314288 0.0205759 0.0885243 0.00234627 -0.0368837 -0.00139982 0.00573568
1185 0.0499825 -0.0393563 0.013022 0.038399 -0.0246502 0.00771288 -0.00493382
1186 -0.032443 0.0256496 0.038159 0.00582839 0.0114161 0.0327078 0.00774463
1187 0.0021612 0.00882343 0.0204841 -0.00423172 0.0248593 0.00409131 0.0434121
1188 0.0035606 0.0129173 0.0122789 0.0422611 0.00597002 0.0071056 -0.00719612
1189 0.0287305 7.57498e-4 -0.00422717 0.0231363 -0.00683604 -0.019778 -0.0121187
1190 0.0234558 0.0270347 0.0310966 -0.0262959 0.0152394 -0.0320921 -0.0364288
1191 -0.00385226 0.00177752 0.0148677 0.01032 0.0164686 0.0168574 0.0212185
1192 0.0162794 0.0214672 0.0122975 -0.011974 0.00722156 -0.00366261 0.00268198
1193 0.00158993 0.0289614 0.0229186 -0.00147538 0.0438301 -0.00158822 -0.0454242
1194 0.0238818 0.00991904 -0.00934069 -0.0167762 0.0184319 0.0319328 0.0190729
1195 0.00750571 -0.0442543 0.0223555 0.0189471 0.0277834 0.0413974 -0.0209393
1196 0.0296456 -0.0319844 0.00383088 -0.00400997 -0.00543755 0.00375788 -0.0301564
1197 0.0204864 0.0178531 -0.0220419 -0.0107323 -0.0344998 -0.0110227 0.00770655
1198 0.0336787 -0.0117289 0.0234854 -0.00494083 -0.0215183 -0.00777377 -0.0269014
1199 0.0495727 -0.0295665 -0.0120297 0.0406262 0.0186681 0.018496 0.0106926
1200 -0.0227396 0.0383228 0.0266223 0.00682932 0.0522698 -0.00718497 -0.0391458
1201 0.032714 0.0364787 0.0206224 0.00519654 -0.00866299 0.00778332 0.00782171
1202 -0.0382668 -0.0181117 0.0144546 0.0382334 -0.0232878 0.0504026 -0.0142354
1203 0.0175091 0.00785325 -0.0368361 0.020566 0.0497061 0.0457955 0.0178457
1204 0.0441858 0.0057713800000000004 -0.00915969 -0.0234501 0.00400326 0.00907714 -0.0103679
1205 0.0191178 0.037349 0.0240413 -0.00920018 0.00245438 -0.0364963 -0.0385931
1207 0.0152286 -0.0449888 -0.0274826 0.0123888 0.0336942 -0.0185175 0.0331165
1208 0.0426245 0.039075 0.0193711 0.00817788 -0.0272486 -0.0171534 -0.00761835
1209 -9.95054e-4 -0.00114742 0.0436887 -0.0198321 -0.00468284 -0.0208731 0.00195163
1210 -0.00841081 -0.0105342 -0.0236902 -0.0144643 0.00728459 -0.0553225 -0.00958254
1211 0.0334879 -0.015181 0.0239304 -0.00400308 0.0049468 1.35004e-4 -0.0256756
1212 -0.00150676 0.0247756 0.0655434 0.0223226 -0.00937879 -0.0362687 -0.0119023
1213 -0.026783 0.00880148 0.0366286 -0.0186913 -0.0173391 0.015808 -0.021891999999999998
1214 -0.0447068 0.00462418 -0.0111257 0.0102322 0.0148036 0.0157731 0.0328507
1215 0.0365182 0.0236426 -0.00372847 -0.0120579 -0.0203754 -0.0192616 -0.0608713
1216 -0.0435899 0.0177509 -0.0192345 -0.0278286 0.0156472 0.0241155 -0.0375407
1217 0.00961241 0.00359361 -0.0161683 0.0190089 0.0351781 -0.0052009 -0.0389829
1218 0.0310109 -0.00918451 -0.0439545 0.0267043 0.00790334 -0.00169974 0.0509453
1219 -0.0282683 0.0100453 0.0295741 9.8677e-4 -0.00764398 0.0103404 -0.0151522
1220 0.0203554 0.00790138 -6.17954e-4 -0.0117545 0.00424118 -0.00771297 -0.00253973
1221 -0.0340574 0.0184736 0.00715574 0.0195421 -0.0078276 0.023415 0.0301923
1222 -0.0291081 -0.00793406 -0.0022032 -0.0319204 0.024128899999999998 -0.0617274 -0.00918775
1223 0.0136874 -0.0123996 0.0129586 0.0285093 -0.0217495 -0.0279521 -0.0553133
1224 0.0114522 0.0249426 2.11005e-4 -0.035601 0.011102 -8.83984e-4 0.0161415
1225 -2.33354e-4 -0.0344159 -0.00772045 -0.00937989 0.0280344 -0.0296382 -0.0235135
1226 -0.00106275 -0.010711 0.00911264 -0.0359645 -0.0267062 7.23514e-4 0.00496914
1227 -0.012436 -0.00919918 0.0182314 0.00843637 0.0187294 -0.0153991 -0.0203871
1228 -0.0206533 -9.74483e-4 0.0529789 -0.00174277 -0.0112875 -0.0195335 -0.0381762
1230 -0.0145851 0.00367153 0.0200633 0.0102739 0.0161437 0.048054 0.0143517
1231 0.0217455 0.0361331 0.012701 0.00496749 0.00849836 0.0139973 0.0402364
1232 -0.035913 0.00477013 -0.0127347 -0.0196568 -0.0296951 0.011277 -0.00655585
1233 -1.60203e-4 -0.020968 0.0197752 -0.0123913 -9.97315e-4 0.00120277 0.00857677
1234 0.0282681 -0.0460045 0.0197725 0.00863721 -0.040432 0.04032 -0.0358497
1235 -0.0399693 0.0483117 0.0174853 -9.44301e-4 0.0282245 0.0152203 -0.0275829
1236 0.00387999 -0.00696986 0.0277778 -0.00685217 0.0136292 -0.0456425 0.0129411
1237 0.0286378 0.0136218 0.00139127 0.0353819 0.0504455 0.0274896 -0.0347347
1238 0.0391335 -0.00878858 -0.00517273 -0.00749913 0.00445107 -0.00194716 0.0274165
1239 -0.0200647 0.00185714 -0.0344548 0.0236212 -0.0201509 0.0187187 0.00931524
1240 0.0313456 -0.00371554 0.0290276 -0.00758087 0.00531759 -0.0291298 -0.0221838
1241 0.0221454 -0.0130885 0.025511699999999998 -0.0205701 -0.0231901 0.00852313 0.0103311
1242 0.0207308 0.0131613 0.044418 -0.00154479 -0.0152985 -0.0296275 9.43796e-5
1243 0.0394546 -0.0146621 -0.01168 0.0223031 0.0134701 0.0196766 0.0318641
1244 -0.0376254 0.0306546 0.0287831 0.0124555 0.0302358 0.0135574 -0.00641961
1245 0.0491012 0.00786446 -0.0148747 0.0185722 0.0062857 -0.00359996 0.00959961
1246 -0.0411151 -0.0092721 0.0073404 0.0499376 -0.0125485 0.0356518 0.00974697
1247 0.0572762 -0.0558639 0.0541289 0.00266916 -0.00461411 0.0328445 -0.00254184
1248 0.029745 -0.0375432 4.55179e-4 0.00845286 0.0107225 -0.0244459 0.00727605
1262 -0.0257153 0.0160643 0.021733 -0.00939529 0.012984 0.00416043 -0.00359537
1268 -0.0181017 -0.0222288 -0.0166191 0.0244777 -0.00715291 6.51415e-4 -0.0095983
1269 0.00559403 -0.0179767 0.0476653 0.0190626 -0.0193234 -0.0467868 -0.0464656
1270 0.0311153 -0.0558236 -0.0168192 0.0242667 0.037707 0.0261074 -0.00599618
1272 0.0409527 -0.00144649 -6.30855e-4 0.0394819 0.036892 0.0315915 -0.00623136
1273 0.0227488 -0.00361043 0.00923993 -0.0176689 0.00194471 0.00167738 0.0101326
1274 -0.0511511 0.00705552 -0.015996 0.0543317 -0.0188551 0.0118939 -0.00216842
1275 0.00396975 -0.0305677 -0.0305837 -0.0155548 -0.051601 0.0268909 -0.0241316
1277 -0.0158836 -0.0039712 -0.0239787 5.81528e-4 0.00864596 -0.0295698 0.00556477
1278 -0.0163922 0.00933484 -0.00469712 -0.0135764 -0.0277331 -0.00813689 0.00879664
1279 0.0229965 0.0153824 0.0225337 -0.00961151 -0.00644002 -0.0204337 7.74651e-4
1285 -9.63807e-4 -0.0176434 -0.0409258 -0.0168171 -0.0118414 -0.0130033 0.043722
1286 -0.00296517 -0.00700499 -0.00624796 4.20467e-4 0.0029665 0.00952856 0.058935
1287 0.0142354 -0.0428272 0.0146224 0.00541939 -0.0486154 -0.0268889 0.00333929
1288 -0.0103052 -0.0107135 -0.0176429 -0.0451868 0.0285967 -0.0352424 -9.13061e-4
1290 0.0425027 0.00285885 0.0416815 0.0034135 -0.0171561 -0.0106818 0.0206891
1291 0.0111202 -0.00546125 0.00974072 0.0629811 0.0189152 -0.0447245 0.0170152
1292 0.00619804 0.00199112 0.0264306 -6.69896e-4 0.0107271 -0.0458317 0.00961392
1293 0.0309754 0.00729837 0.0195223 -0.0323294 -0.0162391 -0.00832954 0.0238705
1294 0.00754788 -0.0210202 0.00834084 0.0294793 0.0216949 -0.0261997 0.0115976
1295 0.025459 0.00159507 -0.00314249 0.00622984 -0.0349843 -0.00967326 0.00838106
1296 0.0388435 0.0105558 4.55562e-4 -0.0323315 -0.00951214 0.0108089 0.014998
1297 -0.0176988 -0.0280807 -0.00356596 -0.0125174 9.96731e-4 -0.00196611 0.0242608
1298 0.0109503 -0.0456299 -0.0102114 -1.01155e-4 -0.00181284 -0.0194492 0.0167386
1299 0.00627942 -0.0528646 -0.0492245 0.0243256 0.0261062 -0.0095789 0.0497337
1300 0.0493461 0.00858188 -0.0258648 0.024823 -7.95719e-4 3.12383e-4 0.0329157
1301 0.00447299 -0.00588082 -0.0154221 -0.0190869 0.00816596 -0.02036 2.39068e-4
